UF,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
AL, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
BA, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
CENTRO-OESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,3.7, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,4,8.3,7,5.9,5.9,7.6,13,15,29,30,37.3,40
MT, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MS, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,3.7, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,4,8.3,7,5.9,5.9,7.6,13,15,29,30,37.3,40
GO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
DF, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
MG, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SUL,39.8,55.5,62.6,75.5,83.4,114,101.5,116,141.9,123.2,122.8,133,210,191.8,253.7,294,262.8,290.4,161.6,147.1,200.4,191.2,204,221.9,248.5,256.5,267.2,299.2,326.2,356.8,321.4,106.1,111.2,122.4,145.5,146,164.2,164.2,146.1,176.5,276.5,311.3,345.6,360.7,359.2
PR,7.1,3.2,3.5,7.7,9.8,16.8,19.8,21,25.5,26.4,26,24,34,30,25.5,75,41,60,99.1,87.7,135,115.3,142,158,178.3,183,204,230,257.6,285.9,237.3,40.1,42.4,45.4,47.6,48.1,61.7,61.7,57.1,58.1,58.2,63.1,79.8,89.6,88.1
SC,3.2,10.5,13.6,16.4,16.4,33.5,25.4,35,41.5,25,25,27,29,9.8,10.1,20,8.4,8.4,13.2,14.3,14.9,11.3,13.4,14.3,14.3,18.5,20.2,20.2,19.8,19.4,18.2, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RS,29.5,41.8,45.5,51.4,57.2,63.7,56.3,60,74.9,71.8,71.8,82,147,152,218.1,199,213.4,222,49.3,45.1,50.5,64.6,48.6,49.6,55.9,55,43,49,48.8,51.5,65.9,66,68.8,77,97.9,97.9,102.5,102.5,89,118.4,218.3,248.2,265.8,271.1,271.1
NORTE/NORDESTE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
CENTRO-SUL,39.8,55.5,62.6,75.5,83.4,114,101.5,116,141.9,123.2,122.8,133,210,195.5,253.7,294,262.8,290.4,161.6,147.1,200.4,191.2,204,221.9,248.5,256.5,267.2,299.2,326.2,356.8,321.4,106.1,111.2,126.4,153.8,153,170.1,170.1,153.7,189.5,291.5,340.3,375.6,398,399.2
BRASIL,39.8,55.5,62.6,75.5,83.4,114,101.5,116,141.9,123.2,122.8,133,210,195.5,253.7,294,262.8,290.4,161.6,147.1,200.4,191.2,204,221.9,248.5,256.5,267.2,299.2,326.2,356.8,321.4,106.1,111.2,126.4,153.8,153,170.1,170.1,153.7,189.5,291.5,340.3,375.6,398,399.2
